NUM_CUPS,NUM_SIMULATIONS,NUM_ROUNDS,NUM_BALLS,TIME_TAKEN
1,10000,1.0,1.0,0.06685996055603027
2,10000,2.3854,5.9591,0.2608470916748047
3,10000,4.1663,16.4465,0.6459877490997314
4,10000,6.1774,33.6878,1.3249640464782715
5,10000,8.0364,56.6258,2.165762186050415
6,10000,10.0777,86.9105,3.357754707336426
7,10000,12.3192,126.7204,4.897816181182861
8,10000,14.6061,174.5932,7.230776071548462
9,10000,16.8403,229.5964,9.448580741882324
10,10000,19.1906,295.1604,12.047523260116577
11,10000,21.2498,364.7483,14.796257019042969
12,10000,23.7681,449.8087,18.592176914215088
13,10000,25.7355,534.805,22.06264615058899
14,10000,28.5036,641.2813,26.422632217407227
15,10000,30.7013,747.5685,30.886886835098267
16,10000,33.3217,871.2497,38.43536686897278
17,10000,35.6234,1001.7057,44.54099702835083
18,10000,37.8178,1130.0658,50.832215785980225
19,10000,40.053,1276.5223,57.54185390472412
20,10000,42.4171,1432.2204,72.08929324150085
21,10000,45.1004,1608.526,76.17133021354675
22,10000,47.3898,1783.6053,85.3957839012146
23,10000,49.9592,1978.2622,94.81693267822266
24,10000,52.4419,2177.2696,107.63053107261658
25,10000,55.3819,2402.9462,120.30148983001709
26,10000,57.5357,2605.8302,136.90848112106323
27,10000,60.2977,2846.9729,144.59664702415466
28,10000,62.8528,3094.0788,161.9050600528717
29,10000,64.8502,3332.2378,174.23487305641174
30,10000,67.4375,3597.1408,196.83336997032166
